1,M
4,K
0,H
1,-


1,M
4,K
2,K
3,-
0,-
3,-
0,-
3,-
95,K
18,K
14,K
9,K
13,M
37,M
40,K
17,K
36,M
11,M
15,K
8,M
3,K
31,M
1,M
43,M
10,K
22,K
49,M
46,K
2,M
42,M
26,M
30,M
16,K
5,K
32,K
19,K
39,M
23,K
35,M
27,K
25,H
16,M
41,H
52,K
83,M
59,M
93,M
9,M
51,K
1,K
46,K
76,K
20,K
7,M
54,M
89,M
78,K
79,M
71,K
41,K
19,M
23,M
57,M
5,M
34,M
92,K
58,K
10,M
53,K
2,M
72,M
62,M
38,M
12,M
43,K
91,K
27,M
44,K
97,M
82,M
60,K
15,K
70,K
65,K
75,K
94,K
87,M
50,M
0,K
40,K
28,K
18,K
85,K
32,K
90,K
55,K
25,M
26,K
49,K
73,K
63,K
68,H
17,K
39,H
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
42,-
61,-
61,K
4,K
90,M
32,K
16,M
0,K
97,M
28,M
92,M
33,M
12,M
38,K
62,K
55,K
31,M
89,M
48,M
41,M
6,K
7,K
20,M
42,K
80,M
18,K
75,M
65,K
15,K
70,M
1,M
46,M
9,M
17,M
63,M
45,K
81,K
10,K
58,M
24,K
5,K
57,K
14,K
3,K
37,H
39,K
27,K
44,H
8,K
21,M
49,H
87,M
13,K
35,K
54,K
60,K
36,M
25,K
88,K
51,K
64,K
91,H
79,-
78,-
77,-
83,-
77,-
83,-
77,-
83,-
77,-
83,-
77,-
83,-
77,-
83,-
77,-
83,-
77,-
46,K
1,M
88,M
25,K
50,M
0,K
16,K
71,M
3,M
89,M
48,M
47,K
77,M
35,M
34,M
58,K
24,K
81,K
91,M
72,K
70,M
18,M
80,M
23,K
57,K
14,K
52,K
32,M
90,M
4,M
95,M
42,K
66,K
45,M
6,M
7,M
54,K
84,K
30,K
65,H
75,K
19,K
41,K
43,K
12,K
38,K
62,K
37,K
39,M
86,K
27,K
29,K
56,M
9,K
22,K
85,K
11,K
8,M
21,K
49,H
87,-
82,-
87,-
82,-
87,-
31,K
30,M
65,M
75,M
19,M
11,K
71,M
68,M
13,K
16,K
0,M
50,K
36,M
60,K
54,K
7,M
6,K
93,K
51,M
69,M
95,M
12,K
38,K
52,K
81,K
24,M
2,K
48,K
89,M
78,K
84,K
99,K
15,K
27,M
39,M
86,K
5,M
34,M
92,M
28,M
40,M
88,K
97,K
56,K
9,K
17,K
96,K
79,M
91,M
21,M
8,H
73,K
63,K
45,K
66,K
61,K
46,M
1,H
55,K
90,K
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,-
85,-
22,H
90,K
4,M
56,M
16,M
0,M
50,K
36,M
25,M
88,M
76,M
46,K
71,K
3,K
89,K
78,M
8,K
96,M
81,M
45,M
58,K
2,M
24,K
10,K
72,M
70,M
15,M
47,M
77,K
83,K
94,M
20,K
7,K
49,M
73,M
86,K
5,K
91,K
64,M
40,K
59,K
35,K
67,M
62,K
37,K
31,K
30,K
65,H
75,K
99,K
29,K
21,M
33,K
97,K
28,K
92,K
98,M
6,H
93,H
51,M
69,-
95,-
69,-
95,-
69,-
95,-
69,-
95,-
69,-
95,-
69,-
95,-
69,-
95,-
69,-
95,-
69,-
4,H
90,M
32,M
31,K
30,M
50,M
0,M
40,M
59,M
70,M
72,M
12,M
38,M
62,K
43,M
91,M
5,K
34,K
58,K
10,K
81,K
52,M
14,M
3,K
66,M
71,K
84,M
78,K
8,K
44,M
17,K
9,K
51,K
1,K
46,K
95,M
99,M
15,K
37,K
49,M
21,K
96,K
79,K
36,K
25,K
26,K
39,K
86,K
73,H
13,M
68,K
57,K
23,K
18,M
28,H
97,K
33,K
74,K
87,M
94,K
54,-
93,-
54,-
93,-
54,-
7,-
54,-
5,K
6,K
16,M
7,K
12,K
0,K
9,M
11,-
13,H
11,-
19,K
15,K
23,K
0,M
14,K
16,K
30,M
6,M
38,M
8,K
3,M
27,M
48,M
13,H
11,M
10,M
3,K
6,K
0,M
12,K
7,K
16,K
15,K
4,H
1,M
4,K
2,K
1,-
1,M
4,K
2,K
3,-
0,-
3,-
0,-
3,-
